14.0	(114.0, 8)	(44.0, 9)	(116.0, 9)	(123.5, 9)	(139.0, 9)
15.0	(118.0, 9)	(87.0, 9)	(115.5, 9)	(113.0, 8)	(69.0, 9)
16.0	(118.5, 9)	(113.5, 9)	(114.0, 9)	(114.0, 9)	(76.0, 9)
17.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
18.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
19.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
20.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
21.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
22.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
23.0	(2.0, 0)	(2.0, 0)	(0.0, 0)	(1.0, 0)	(2.0, 0)
24.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
25.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
26.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
27.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
28.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
