0.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
1.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
10.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
11.0	(0.0, 0)	(0.0, 0)	(0.5, 0)	(0.0, 0)	(0.0, 0)
12.0	(0.0, 0)	(0.5, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
13.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
14.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
15.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
16.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
17.0	(117.0, 8)	(69.0, 8)	(97.0, 8)	(91.0, 8)	(114.0, 8)
18.0	(109.0, 9)	(100.0, 9)	(136.0, 9)	(107.5, 9)	(45.5, 9)
19.0	(114.5, 9)	(69.5, 9)	(69.0, 9)	(89.5, 9)	(44.0, 9)
2.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
20.0	(59.0, 9)	(116.5, 9)	(43.0, 9)	(157.0, 9)	(97.5, 9)
21.0	(140.0, 9)	(45.5, 9)	(66.0, 9)	(148.0, 9)	(93.0, 9)
22.0	(67.5, 9)	(138.5, 9)	(164.5, 9)	(153.5, 9)	(143.0, 9)
23.0	(92.0, 9)	(175.0, 9)	(157.5, 9)	(93.0, 9)	(88.0, 9)
24.0	(113.0, 9)	(52.0, 9)	(112.5, 9)	(112.5, 9)	(164.0, 9)
3.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
4.0	(0.0, 0)	(0.5, 0)	(0.0, 0)	(1.0, 0)	(1.0, 0)
5.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
6.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
7.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
8.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
9.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
